term	category	gender	respect	variants	note
Mrs. Weasley	person	f	ఆవిడ		
Neville	person	m	అతను		
Nicolas Flamel	person	m	ఆయన		
Oliver Wood	person	m	అతను		
Ollivander	person	m	ఆయన		
Pansy	person	f	ఆమె		
Parvati	person	f	ఆమె		
Peeves	person	m	వాడు		A poltergeist, but grammatically animate and rude.
Percy	person	m	అతను		
Petunia	person	f	ఆమె		
Piers	person	m	వాడు		
Potter	person	m	అతను		Surname alone — Snape and Malfoy use it as an insult.
Professor Binns	person	m	ఆయన		
Professor Dumbledore	person	m	ఆయన		Title is part of the anchor. Never add గారు.
Professor Flitwick	person	m	ఆయన		
Professor McGonagall	person	f	ఆవిడ		
Professor Quirrell	person	m	అతను		
Professor Snape	person	m	అతను		
Professor Sprout	person	f	ఆవిడ		
Quirrell	person	m	అతను		
Ron	person	m	అతను		
Ron Weasley	person	m	అతను		
Ronan	person	m	అతను		
Rubeus Hagrid	person	m	అతను		
Seamus	person	m	అతను		
Seamus Finnigan	person	m	అతను		
Severus	person	m	అతను		
Sirius	person	m	అతను		
Sirius Black	person	m	అతను		
Snape	person	m	అతను		
Ted	person	m	అతను		Newsreader, one line.
Uncle Vernon	person	m	అతను		Consider Vernon మామయ్య — keeps the anchor, teaches the kinship term. STYLE.md §4.
Vernon	person	m	అతను		
Voldemort	person	m	అతను		
Weasley	person	m	అతను		Plural: Weasley-లు.
Wood	person	m	అతను		
Bristol	place	n	అది		
Britain	place	n	అది		
Diagon Alley	place	n	అది		A pun that cannot survive. Anchoring it is the honest option.
Dundee	place	n	అది		
Forbidden Forest	place	n	అది		
Godric's Hollow	place	n	అది		
Great Hall	place	n	అది		
Kent	place	n	అది		
King's Cross	place	n	అది	King’s Cross	
King’s Cross	place	n	అది		
Leaky Cauldron	place	n	అది		
Little Whinging	place	n	అది		
London	place	n	అది		
London Underground	place	n	అది		
Platform Nine and Three-Quarters	place	n	అది		
Privet Drive	place	n	అది		
Surrey	place	n	అది		
Yorkshire	place	n	అది		
Beater	quidditch	m	అతను		
Bludger	quidditch	n	అది		Bludger-లు.
Chaser	quidditch	m	అతను		Chaser-లు.
Keeper	quidditch	m	అతను		
Quaffle	quidditch	n	అది		
Quidditch	quidditch	n	అది		
Seeker	quidditch	m	అతను		
Snitch	quidditch	n	అది		
Alohomora	spell	n	అది		
Locomotor Mortis	spell	n	అది		
Petrificus Totalus	spell	n	అది		
Wingardium Leviosa	spell	n	అది		Pseudo-Latin in the original too. Never translate a spell.
