te	gloss	pos	status
సాయంత్రమే	this very evening	సాయంత్రం + the emphatic -ఏ	draft
సేపు	a while	noun	draft
ఇప్పుడిప్పుడే	only just now	adverb	draft
ఇప్పటికే	already by now	adverb	draft
ఇలారా	come here!	"ఇలా ""this way"" + రా ""come"""	draft
ఇట్లా	like this, in this way	adverb	draft
దాన్ని	it (as object)	అది in the accusative	draft
వాణ్ణి	him (as object)	వాడు in the accusative	draft
తమ్ముణ్ణి	the younger brother (as object)	తమ్ముడు in the accusative	draft
ఒకణ్ణి	I am one	ఒకడు + the 1sg ending	draft
నేనూ	I too	నేను + the additive -ఊ	draft
నేనే	I myself	నేను + the emphatic -ఏ	draft
మీరే	you yourself	మీరు + the emphatic -ఏ	draft
మీరందరూ	all of you	మీరు + అందరూ	draft
నీకే	for you specifically	నీకు + the emphatic -ఏ	draft
మీది	yours	మీరు + the possessive -ది	draft
వాడిది	his	వాడు + the possessive -ది	draft
అన్నయ్యది	the elder brother’s	అన్నయ్య + -ది	draft
విజయది	Vijaya’s	name + -ది	draft
వీటి	of these	ఇవి, oblique	draft
ఇతని	his	ఇతను, oblique	draft
అతనే	he himself	అతను + -ఏ	draft
వాళ్ళిద్దరూ	both of them	వాళ్ళు + ఇద్దరూ	draft
కోసమే	only for	కోసం + the emphatic -ఏ	draft
గారి	of (polite)	the honorific గారు, oblique	draft
గారికి	to (polite)	గారు + the dative	draft
నాన్నగారి	father’s	నాన్నగారు, oblique	draft
నాన్నగారితో	with father	నాన్నగారు + -తో	draft
బాబాయిగారికి	for the uncle	బాబాయిగారు + the dative	draft
హరికి	to Hari	name + the dative	draft
తమ్ముడి	the younger brother’s	తమ్ముడు, oblique	draft
చెల్లెలి	the younger sister’s	చెల్లెలు, oblique	draft
స్నేహితుడి	the friend’s (male)	స్నేహితుడు, oblique	draft
స్నేహితురాలి	the friend’s (female)	స్నేహితురాలు, oblique	draft
వేలికి	to the finger	వేలు + the dative	draft
నాటకానికి	to the play	నాటకం + the dative	draft
రూపాయల	of rupees	రూపాయలు, oblique	draft
ఇళ్ళ	of houses	ఇళ్ళు, oblique	draft
ఇద్దరం	we are two	ఇద్దరు + the 1pl ending	draft
ముగ్గురం	we are three	ముగ్గురు + 1pl	draft
ఐదుగురం	we are five	ఐదుగురు + 1pl	draft
ఆరుగురు	six people	ఆరు + the human plural	draft
పదిమంది	ten people	పది + మంది	draft
ఎనిమిదిమందిమి	we are eight	ఎనిమిది + మంది + 1pl	draft
విద్యార్థులం	we are students	విద్యార్థులు + the 1pl ending	draft
ఒకటో	first	ordinal of ఒకటి	draft
రెండో	second	ordinal of రెండు	draft
ఆరో	sixth	ordinal of ఆరు	draft
అయింది	it became, it is done	past of అగు	draft
వుంది	there is	a spelling of ఉంది	draft
పోదాం	let’s go	hortative of పో	draft
చెయ్యాలి	must do	obligative of చేయు	draft
చూసి	having seen	verbal participle of చూడు	draft
వచ్చి	having come	verbal participle of రా	draft
చేసి	having done	verbal participle of చేయు	draft
వెళ్ళి	having gone	verbal participle of వెళ్ళు	draft
చెప్పి	having said	verbal participle of చెప్పు	draft
కొని	having bought	verbal participle of కొను	draft
తియ్యి	take it out! / open it!	imperative of తీయు	draft
వెళ్లు	go!	imperative of వెళ్ళు	draft
పిలు	call!	imperative of పిలువు	draft
పట్టుకో	catch! / hold it!	imperative of పట్టుకో	draft
చెయ్యకు	don’t do it	negative imperative of చేయు	draft
వెయ్యకు	don’t put/switch on	negative imperative of వేయు	draft
చూశాను	I saw	past, 1sg of చూడు	draft
దొరుకుతాయి	they are available	habitual, 3pl of దొరుకు	draft
బాగుంటుంది	it will be good	బాగా + ఉంటుంది	draft
కావచ్చు	it may be	potential of అగు	draft
అనుకుంటాను	I think, I intend	habitual, 1sg of అనుకో	draft
అన్నది	she said / that which was said	past, 3sg fem of అను	draft
పోతే	if (one) goes / if lost	conditional of పో	draft
అడిగితే	if (you) ask	conditional of అడుగు	draft
రాకపోతే	if (he) does not come	negative conditional of రా	draft
చెప్పకుండా	without telling	negative adverbial of చెప్పు	draft
తింటూ	while eating	progressive participle of తిను	draft
వెళ్ళటం	going	verbal noun of వెళ్ళు	draft
చదవటం	reading	verbal noun of చదువు	draft
కావటం	becoming	verbal noun of అగు	draft
కోయించి	having had (it) cut	causative participle of కోయు	draft
పట్టుకున్న	that was caught	past adjectival of పట్టుకో	draft
చెప్పిన	that was said	past adjectival of చెప్పు	draft
పుట్టిన	born	past adjectival of పుట్టు	draft
ఉన్న	that is, existing	adjectival of ఉండు	draft
ఉండేవాడు	he used to be	habitual past of ఉండు	draft
ఎక్కడున్నాడు	where is he?	ఎక్కడ + ఉన్నాడు	draft
నేనున్నాను	I am there	నేను + ఉన్నాను	draft
నేనిక్కడ	I (am) here	నేను + ఇక్కడ	draft
ఉందే	there is, you see	ఉంది + the familiar -ఏ	draft
నవల	a novel	noun	draft
నవలలు	novels	plural of నవల	draft
కవి	a poet	noun	draft
కవులు	poets	plural of కవి	draft
మాటలు	words, talk	plural of మాట	draft
మాట	a word, what one says	noun	draft
పనులు	jobs, tasks	plural of పని	draft
జనం	people, a crowd	noun	draft
స్కూలు	school	noun (English loanword)	draft
లైటు	light	noun (English loanword)	draft
సైకిలు	bicycle	noun (English loanword)	draft
నెంబరు	number	noun (English loanword)	draft
పాసు	a pass (in an exam)	noun (English loanword)	draft
సంచీ	a bag	noun	draft
సంచి	a bag	noun	draft
కలాలు	pens	plural of కలం	draft
కాయలు	unripe fruit, vegetables	plural of కాయ	draft
మంచినీళ్ళు	drinking water	"మంచి ""good"" + నీళ్ళు ""water"""	draft
కాళ్ళు	feet, legs	plural of కాలు	draft
మైళ్ళు	miles	plural of మైలు	draft
చాక్లెట్లు	chocolates	English loanword + the plural -లు	draft
పూరీ	puri (the fried bread)	noun	draft
మినపట్టు	minapattu (a black-gram dosa)	noun	draft
ఉయ్యాల	a swing	noun	draft
కొండచిలువ	a python	noun	draft
పర్వతాలు	mountains	plural of పర్వతం	draft
నెప్పి	pain, an ache	noun	draft
నెప్పిగా	painfully, aching	నెప్పి + -గా	draft
కాలక్షేపం	passing the time	noun	draft
మెల్లగా	slowly, gently	adverb	draft
హడావుడిగా	in a hurry	adverb	draft
కొంత	some, a certain amount	determiner	draft
మిగిలినవి	the rest, the remaining ones	from మిగులు	draft
అంతే	that is all	adverb	draft
హర్యానావాళ్ళు	the Haryana people	"place + వాళ్ళు ""people of"""	draft
మంచిదానివి	you are a good one (to a female)	మంచిది + the 2sg ending	draft
హిందీ	Hindi	noun	draft
బల్లమీద	on the table	"బల్ల + మీద ""on"""	draft
రోజా	the day?	రోజు + -ā	draft
ఒకరే	only one person	ఒకరు + the emphatic -ఏ	draft
ఊం	mm (yes / go on)	interjection	draft
ఏమయ్యా	hey there! / I say	ఏమి + అయ్యా, familiar address to a man	draft
పిలవండి	(you) call, invite — polite imperative of పిలువు	verb — imperative, polite	draft
బయల్టేరేవి	ones that depart/start out (from బయల్దేరు, to set out)	verb — relative participle + plural nominalizer 'those which'	draft
పేపరు	newspaper (English loan 'paper')	noun	draft
దూరమన్నమాట	means (it's) far — దూరము + అన్నమాట	noun phrase (predicative)	draft
చెల్లెలా	younger sister? (from చెల్లెలు + question marker)	noun — interrogative form	draft
పట్టుకుంటేనే	just on holding/grasping it (from పట్టుకొను)	verb — conditional + emphatic	draft
వడ్డించు	serve (food)! — from వడ్డించు	verb — imperative, 2sg	draft
నాన్నగ్రారూ	Father! (vocative of నాన్నగారు)	noun — vocative (typo for నాన్నగారూ)	draft
పడ్డాడండీ	he fell (polite -అండీ); from పడు 'to fall'	verb — past, 3sg masc, polite	draft
పదును	sharpness, keen edge	noun	draft
న్నావ్రు			ocr-junk
చాలండీ	is enough (polite) — from చాలు 'to suffice'	verb — present, polite form	draft
కురుస్తున్నది	is raining (from కురియు, to rain)	verb — present continuous, 3sg neut	draft
ాయ్			ocr-junk
వెళ్తున్నట్లు	as (they) are going; like (they) go — from వెళ్ళు 'to go'	verb — adverbial/comparative form	draft
చేసేది	what he does; that which (he) does — from చేయు 'to do'	verb — nominalized relative form, neuter sg	draft
కాలమే	time itself (కాలము + emphatic -ఏ)	noun — nominative with emphatic particle	draft
చించుతుంది	tears (up); from చించు 'to tear'	verb — present/future, 3sg non-masc	draft
అనుకున్నాం	we thought (from అనుకొను, to think)	verb — past, 1pl	draft
కట్టించి	having (someone) tie/make (a garland); from కట్టించు (causative of కట్టు)	verb — causative, past participle	draft
వాళ్ళింటి	their/his house (oblique) — from వాళ్ళ + ఇల్లు	noun phrase — oblique/genitive	draft
దాటేటప్పుడు	when crossing (from దాటు, to cross)	verb — temporal adverbial ('when ...ing')	draft
మ్మ్నూడు			ocr-junk
పుస్తకమండీ	it's a book, sir (book + polite ఀండీ)	noun + polite particle (from పుస్తకం)	draft
ఉన్నాడోయ్	he is/there is — with 'hey!' particle (from ఉండు)	verb — present, 3sg masc + interjective particle	draft
మాట్లాడ్తే	if (one) speaks/talks (from మాట్లాడు)	verb — conditional	draft
తీసుకురావాలి	must bring (from తీసుకురావడం/తీసుకురా)	verb — obligative, 'must bring'	draft
ఎట్లాగయ్యా	"""how will it do, my man!"" (ఎట్లాగు 'how' + అయ్యా, familiar address)"	interrogative adverb + vocative particle	draft
భారతీయుణ్ణి	I am an Indian (భారతీయుడు + 1sg predicate ending)	noun — predicative, 1sg	draft
రష్యాలోని	(the one) in Russia; Russia's	noun + locative attributive (రష్యా + లో + ని)	draft
భారతీయులం	we are Indians (from భారతీయుడు, Indian)	noun — predicative, 1pl	draft
వక	a, one (variant of ఒక)	numeral/article	draft
దొరకవు	will not be available (neg. of దొరకు)	verb — negative, 3pl	draft
నింగయ్యగారూ	Mr. Ningayya! (vocative of Ningayya-gāru)	name — vocative, honorific	draft
పర్మిషన్	permission (English loanword)	noun	draft
అనేవాళ్ళు	those who say/call (them); from అను 'to say'	verb-derived noun — relative participle + plural	draft
రాప్రిచ్చినా			ocr-junk
లేదండి	"""is not, sir"" — negative lēdu + polite -aṇḍi"	verb — negative existential + honorific particle	draft
ఆడపిల్లలెంతమంది	how many girls? (ఆడపిల్లలు + ఎంతమంది)	noun phrase — plural + interrogative	draft
పిలుస్తున్నది	is calling (us); from పిలుచు 'to call'	verb — present progressive, 3sg fem	draft
సోవియట్	Soviet (loanword, attributive)	proper adjective	draft
వచ్చినవారు	the one who came (honorific); from వచ్చు 'to come'	verbal noun/participle — past, honorific pl.	draft
తీసుకుపోవటం	taking (someone/something) away; verbal noun of తీసుకుపోవు	verbal noun (gerund)	draft
పోట్లాడుకున్నారు	quarrelled with each other (from పోట్లాడు, fight)	verb — past, 3pl, reflexive/reciprocal	draft
అక్కడివారి	of the people there (gen. of అక్కడివారు)	noun — genitive plural	draft
మానుకున్నాం	we gave up / stopped (from మానుకొను)	verb — past, 1pl	draft
విశేషం	special feature; notable thing	noun	draft
కిటికీలోనించి	through/from inside the window (కిటికీ)	noun + postposition (ablative)	draft
ముగ్గురమండీ	we are three (of us), sir	numeral predicate — 1pl + polite -aṇḍī (from ముగ్గురు)	draft
పడిపోయాడు	he fell down (from పడిపోవు)	verb — past, 3sg masc	draft
స్ఫ్రూలు	women (OCR variant of స్త్రీలు)	noun — plural	draft
కనిపించటంలేదు	is not visible; is missing (from కనిపించు, to appear)	verb — negative present, 3sg neut	draft
రైలొస్టేషన్	railway station (rail + station)	noun	draft
అరె	oh! (exclamation of surprise)	interjection	draft
రకరకాల	of various kinds, different kinds of (from రకరకం)	adjective (oblique/plural of noun రకరకం)	draft
పందమాయ			ocr-junk
మీరెవరన్డీ	"""who are you, sir?"" (మీరు+ఎవరు+అండీ)"	pronoun phrase — interrogative, polite	draft
వెయ్యకుండా	without throwing (from వేయు, to throw)	verb — negative adverbial participle	draft
రాలేదండి	has not come, sir (రా- + negative past + polite అండి)	verb — negative past, 3sg + polite particle	draft
విరిచింది	broke (it); from విరుచు 'to break'	verb — past, 3sg	draft
ఇద్దరికీ	to both (of them); from ఇద్దరు 'two people'	noun — dative, emphatic	draft
మోడరన్	modern (English loanword)	adjective	draft
తెల్లవారింది	day has broken; it became morning (from తెల్లవారు)	verb — past, 3sg neut	draft
అక్కడే	right there, in that very place (అక్కడ + emphatic -ఏ)	adverb — emphatic form of అక్కడ	draft
బాబుది	Babu's (that which belongs to Babu); from బాబు	noun — possessive with -ది	draft
సీసాలో	in the bottle (from సీసా, bottle)	noun — locative sg	draft
ఏద్సీ	come on / let's see (urging particle); OCR of ఏదీ	interjection	draft
అనుకొని	having thought (from అనుకొను, to think)	verb — perfective/adverbial participle	draft
పరూ	worry/concern (OCR of పరవా; పరవా లేదు = it's fine)	noun (in idiom పరవా లేదు)	draft
యిది	this (variant of ఇది)	pronoun — demonstrative, neuter sg	draft
కోసుకున్నది	got cut (finger); from కోసుకొను, to cut oneself	verb — past, 3sg neuter	draft
అడిగాం	we asked (from అడుగు, to ask)	verb — past, 1pl	draft
ఉఊళ్ళో	in the village/town (locative of ఊరు)	noun — locative (typo for ఊళ్ళో)	draft
స్వరూపరాణీ	Swaroopa Rani (Nehru's mother)	name	draft
రాశాడా	did he write? (from రాయు, to write)	verb — past interrogative, 3sg masc	draft
అల్లలేదనుకుంటాను	I think (no one) has knitted — from అల్లు 'weave/knit' + అనుకొను 'think'	verb — negative + quotative, 1sg present	draft
బందా	Banda (place/person name, in a dateline)	name	draft
కనుక్కుని	having found out, after asking (from కనుక్కొను)	verb — perfective participle	draft
పక్కింటికి	to the neighbour's house (పక్కిల్లు, dative)	noun — dative sg	draft
విషయాన్ని	matter, topic (accusative of విషయం)	noun — accusative sg	draft
అడగకు	don't ask (negative imperative of అడుగు)	verb — negative imperative, 2sg	draft
ఉంచి	having placed/stationed (from ఉంచు)	verb — perfective participle	draft
నెడ్డాను	I will push (from నెట్టు, to push)	verb — future, 1sg	draft
అవుతున్నారు	are becoming (more); from అవు 'to become'	verb — present, 3pl honorific/plural	draft
నిర్ణయించి	having decided (from నిర్ణయించు, to decide)	verb — past/adverbial participle	draft
కుంటుకున్నావు	you are limping (from కుంటు, to limp)	verb — 2sg, reflexive form	draft
వాలింది	declined, sank (of sun); from వాలు	verb — past, 3sg neut	draft
దగ్గి	near, up to (variant/short form of దగ్గరికి 'toward')	postposition	draft
నువ్వున్నావు	you are (present); from నువ్వు + ఉండు	pronoun + verb — present, 2sg	draft
రోజుల్లో	in (three) days; from రోజు 'day', locative plural	noun — locative plural	draft
మినపట్లా	minapattu (urad-dal pancakes) — plural of మినపట్టు, in a question	noun — plural	draft
వంటయిల్లు	kitchen	noun	draft
రావాలంటే	if one wants to come (from రా, to come)	verb — conditional, 'if one must/wants to come'	draft
పెడ్తున్నారు	they are serving (food); from పెట్టు 'put, serve'	verb — present continuous, 3pl	draft
మనల్ని	us (accusative of మనం, we-inclusive)	pronoun — accusative, 1pl incl.	draft
వారంలోనండీ	in the week (polite) — from వారం 'week'	noun — locative + polite particle	draft
మెక్సికోలో	in Mexico (Mexico + locative -lo)	proper noun — locative	draft
అంతకంటే	than that; more than that (from అంతకంటె)	adverb/comparative phrase	draft
కోట	fort (Gwalior fort)	noun	draft
నెమ్మదిగానే	slowly indeed (నెమ్మది + -గా adverbial + emphatic -ఏ)	adverb — emphatic	draft
పళ్ళేనికి	for each plate (from పళ్ళెం 'plate')	noun — dative sg	draft
అరుస్తున్నాడు	he is shouting/barking (from అరుచు)	verb — present continuous, 3sg masc	draft
మోసేందుకు	in order to carry (from మోయు, to carry)	verb — purposive infinitive	draft
యాభైతొమ్మిది	fifty-nine (59)	numeral	draft
వెళ్తున్నారా	are (you/they) going? (from వెళ్ళు 'to go')	verb — present continuous, interrogative	draft
కనుక్కోలేదు	did not find out (from కనుక్కోను/కనుక్కోవడం)	verb — negative past, 1sg	draft
అనుకుం			ocr-junk
గలిగితే	if (one) is able to; from గలుగు 'to be able'	verb — conditional	draft
వ			ocr-junk
టికి			ocr-junk
పడుతున్నది	is falling (from పడు, to fall)	verb — present continuous, 3sg neut	draft
వళ్లనే			ocr-junk
జపానుకు	to/of Japan (dative of జపాన్)	noun — dative	draft
కన్గారు	panic, flurry, fluster (variant of కంగారు)	noun	draft
పనిముద్దు	work is a delight (pani 'work' + muddu 'sweet, dear')	noun (compound)	draft
అవ్రతుంది	it becomes (here: 'you understand'); from అవుతుంది/అవు	verb — present-future, 3sg neut (OCR of అవుతుంది)	draft
స్నేహితులలో	among (his) friends; from స్నేహితుడు 'friend', plural + locative	noun — plural locative	draft
చేయించేశాం	we had (it) done; got it done (caus. of చేయు)	verb — causative-completive past, 1pl	draft
సామ్రాజ్యానికి	to/of the empire (dative of సామ్రాజ్యం)	noun — dative singular	draft
వస్తున్నావా	are you coming? (from వచ్చు, to come)	verb — present, 2sg, interrogative	draft
బతికి	having lived/survived; in బతికి ఉంది = is still alive (from బతుకు)	verb — past participle	draft
తెల్లవారుజామునే	in the very early morning (dawn) itself	adverbial noun (తెల్లవారుజాము + emphatic -ఏ)	draft
విద్యార్థివి	you are a student (male); from విద్యార్థి	noun — predicative, 2sg	draft
ఒప్పుకున్నాడు	he agreed (from ఒప్పుకొను, to agree/accept)	verb — past, 3sg masc	draft
కాల్చటం	toasting, roasting (verbal noun of కాల్చు 'to burn/roast')	verbal noun	draft
నచ్చితే	if (she) likes them (from నచ్చు, to please/appeal)	verb — conditional, 3sg	draft
కాలిస్తే	if (you) toast/roast; from కాల్చు	verb — conditional	draft
ఏమైందో	who knows what happened (from ఏమి+అవు)	verb — past 3sg neut + dubitative -ఓ	draft
వారికీ	to them too (vāru 'they', dative + emphatic)	pronoun — dative plural with emphatic -ī	draft
కార్డండీ	it's the (progress) card, sir/madam (from కార్డు 'card' + polite -అండీ)	noun + polite particle	draft
చెట్లు	trees, plants (plural of చెట్టు)	noun — plural	draft
తిరగ	to wander/roam about (stem of తిరుగు, in తిరగటానికి 'for roaming')	verb stem	draft
నీరజగారూ	Ms. Niraja! (vocative of Nīraja + honorific -gāru)	name — vocative, honorific	draft
సంవత్సరాలు	years (plural of సంవత్సరం)	noun — plural	draft
ఊరినించి	from the village/town (ఊరు + నుంచి)	noun with ablative postposition	draft
పెడ్డా	I'll put/leave (it) — from పెట్టు 'to put'	verb — future/intentional, 1sg	draft
మాడ్చావో	how you burnt (it) — from మాడ్చు 'to burn'	verb — past 2sg + -ఓ (embedded question)	draft
మర్చిపోకండి	don't forget (from మర్చిపోవు, to forget)	verb — negative imperative, polite/plural	draft
పదిహేనుమందిమి	we are fifteen (people)	numeral noun + 1pl verbal ending	draft
ఆలోచించటంలేదు	am not thinking (from ఆలోచించు, to think)	verb — negative present, 1sg	draft
వెయ్యటం	drawing (verbal noun of వెయ్యు 'to draw/put')	verbal noun	draft
మాదే	ours (emphatic) — from మాది 'ours' + -ఏ	pronoun — possessive, emphatic	draft
సుబ్బరామయ్యగారూ	Mr. Subbaramayya! (respectful vocative)	name — vocative, honorific	draft
అభివృద్దిని	development, progress (object form of అభివృద్ధి)	noun — accusative sg	draft
ఇవతలికి	to this side (toward here)	adverb — dative of ఇవతల	draft
చూశాడు	he saw (from చూడు, to see)	verb — past, 3sg masc	draft
లేవ	are not (negative of ఉండు, plural); here 'is not'	verb — negative existential, 3pl	draft
ఉన్నతేలు	the scorpion that was (below) — ఉన్న + తేలు	relative participle + noun	draft
తెగుతుంది	it will break/snap (from తెగు)	verb — future/habitual, 3sg	draft
ఇవ్వబడుతుంది	will be given (passive of ఇవ్వు, 'to give')	verb — passive, future/habitual, 3sg neut	draft
యిక్కడికి	to here, hither (from ఇక్కడ 'here')	adverb — dative form	draft
ఇద్దరమ్మాయిలూ	two girls (ఇద్దరు + అమ్మాయిలు + emphatic ూ)	noun phrase — plural	draft
ఎందుకేమిటి	"""What do you mean, why?"" (ఎందుకు + ఏమిటి)"	interrogative phrase	draft
పెట్టుకుం			ocr-junk
నిల్ఫోడం	standing (verbal noun of నిల్చోవడం, to stand)	verbal noun	draft
న్నట్లు			ocr-junk
కొలు	measure (it)! — imperative of కొలవడం	verb — imperative, 2sg	draft
కాలింది	got burnt (from కాలు, to burn)	verb — past, 3sg neut	draft
టేప్రికారరు	tape recorder	noun (English loanword)	draft
కలవచ్చిందోయ్	a dream came (to me) — I dreamt; from కల వచ్చు	verb phrase — past, 3sg neut	draft
అరిఛ్			ocr-junk
fఓట	photo (from ఫోటో, transliterated with 'f')	noun	draft
ముయ్యి	shut, close! (imperative of మూయు)	verb — imperative, 2sg	draft
మూలగటం	groaning, moaning (verbal noun of మూలుగు)	noun (verbal noun)	draft
తిందువుగాని	you may/shall eat (from తిను, 'to eat')	verb — future, 2sg with -గాని 'let'	draft
బొమ్మకావాలి	(I) want a doll (బొమ్మ + కావాలి)	noun + verb 'is wanted'	draft
బెను			ocr-junk
వంకాయలున్నాయా	whether the world was seen/known	verb — past participle + interrogative	draft
మమ్మీని	mummy (accusative of మమ్మీ)	noun — accusative	draft
కొట్టకనికి	to the shopkeeper (dative of కొట్టువాడు)	noun — dative sg	draft
దింపండి	please lift/set (me) down; from దింపు	verb — imperative, polite	draft
కనుక్కున్నావా	did you find out? (from కనుక్కొను, to find out)	verb — past, 2sg, interrogative	draft
చదరంగం	chess (the game)	noun	draft
వచ్చాడన్నమాట	so he came (it means) — from వచ్చు 'to come' + అన్నమాట	verb phrase — past 3sg masc + 'that is to say'	draft
వెలగటంలేదు	is not lighting up (from వెలుగు/వెలగు, to glow)	verb — negative present, 3sg	draft
దీన్ని	this (object form) — from ఇది	pronoun — accusative	draft
కొమ్మమీదికి	onto the branch (కొమ్మ 'branch' + మీదికి 'onto')	noun + postposition (dative/allative)	draft
తెరుస్తారు	will open (they); from తెరుచు 'to open'	verb — future/habitual, 3pl	draft
మొదలుపెట్టింది	began, started (from మొదలుపెట్టు 'to begin')	verb — past, 3sg fem	draft
అవతారు	will become (colloq. for అవుతారు; from అగు/అవు)	verb — future, 3pl	draft
కొన్నాళ్ళకు	after some days (కొన్ని + నాళ్ళు, dative)	adverbial phrase (noun, dative)	draft
తెల్లగౌను	white gown/frock (తెల్ల 'white' + గౌను 'gown')	noun — compound	draft
