guid	te	status
Mbbbfefa3cdb8	ఈ శీతాకాలంలో నాకు కొంత విశ్రాంతి దొరికింది	native
M167e8bb867c4	నేను రెండు వారాల పాటు పనికి వెళ్లాల్సిన అవసరం లేదు	native
M4a72b5a605dd	నేను సెలవులకు ఎక్కడికైనా వెళ్లాలని అనుకుంటున్నాడు.	native
M7883a0ee1745	ఎక్కడికి వెళ్లాలో ఆలోచిస్తున్నాను	native
Mf4c52f6b71fb	ఫ్రాన్స్ కి వెళ్లాలని అనుకుంటున్నాను	native
M966db9c88cab	కానీ నాకు ఫ్రెంచ్ మాట్లాడడం రాదు	native
M2a1ea9d37bca	ఇంటి పట్టునే ఉంటూ, చదువుకుంటూ, డబ్బు ఆదా చేయాలని నిర్ణయించుకున్నాను	native
Me638855b2ccf	ఒకటి: శీతాకాల సెలవుతో డస్టిన్ ఉత్సాహంగా ఉన్నాడు	native
M593a2efb7f86	డస్టిన్ ఉత్సాహంగా ఉన్నాడా?	native
M1c2be9177ba2	అవును, ఈ శీతాకాల సెలవుతో డస్టిన్ ఉత్సాహంగా ఉన్నాడు	native
M8ae172068b27	రెండు: ఈ శీతాకాలంలో అతనికి కొంత విశ్రాంతి దొరికింది	native
Mafcb398ca6a3	ఈ శీతాకాలంలో డస్టిన్ కు కొంత విశ్రాంతి దొరికిందా?	native
M826648ae44a2	అవును, ఈ శీతాకాలంలో డస్టిన్ కు కొంత విశ్రాంతి దొరికింది	native
M32ec5345f6db	మూడు: డస్టిన్ సెలవులకు ఎక్కడికైనా వెళ్లాలని అనుకుంటున్నాడు.	native
Mda60d45bba13	డస్టిన్ సెలవులకు ఎక్కడికైనా వెళ్లాలని అనుకుంటున్నాడా?	native
Mc451ce690e3e	కాదు, డస్టిన్ ఇంట్లో ఉండడానికి ఇష్టపడడం లేదు	native
Mc95bb54fa503	నాలుగు: డస్టిన్ కి ఎక్కడికి వెళ్లాలో తెలియడం లేదు	native
M17456384490a	ఎక్కడికి వెళ్లాలో డస్టిన్ కి తెలుసా?	native
Mb78b5019352c	కాదు, ఎక్కడికి వెళ్లాలో డస్టిన్ కి తెలియదు	native
M1293c455d81a	ఫ్రాన్స్ కి వెళ్లాలని డస్టిన్ ఆలోచిస్తున్నాడా?	native
Mf4bfbdcff6b3	అవును, సెలవులకు ఫ్రాన్స్ కి వెళ్లాలని డస్టిన్ ఆలోచిస్తున్నాడు	native
M0a200094bf9f	ఆరు: ఫ్రాన్స్ కి వెళ్ళడం ఖర్చుతో కూడుకున్నది	native
M6efd4f432e33	ఫ్రాన్స్ కి వెళ్ళడం చాలా తక్కువ ఖర్చుతో కూడుకున్నదా?	native
M6c6fae2e0c55	కాదు, ఫ్రాన్స్ కి వెళ్ళడం చాలా తక్కువ ఖర్చుతో కూడుకున్నది కాదు	native
Mcd289716fe11	ఫ్రాన్స్ కి వెళ్ళడం ఖర్చుతో కూడుకున్నది	native
Mb6c961c08d49	ఏడు: డస్టిన్ కి ఫ్రెంచ్ మాట్లాడడం రాదు	native
M7f1e8f8f1792	డస్టిన్ కి ఫ్రెంచ్ మాట్లాడడం వచ్చా?	native
M66a89fed6c77	కాదు, డస్టిన్ కి ఫ్రెంచ్ మాట్లాడడం రాదు	native
Mef6cf0b7abbb	ఎనిమిది: డస్టిన్ ఇంటి పట్టునే ఉంటూ, చదువుకుంటూ, డబ్బు ఆదా చేయాలని నిర్ణయించుకున్నాడు	native
M0908d6845eea	డస్టిన్ ఇంటి పట్టునే ఉంటూ, ఫ్రెంచ్ నేర్చుకోవాలని నిర్ణయించుకున్నాడా?	native
Me345949a099e	అవును, డస్టిన్ ఈ సెలవుల్లో ఇంటి పట్టునే ఉంటూ, ఫ్రెంచ్ నేర్చుకుంటూ, డబ్బు ఆదా చేయాలని నిర్ణయించుకున్నాడు	native
M9368104310c4	కరెన్ కు పనిలోనూ, ఇంట్లోనూ బోర్ కొడుతోంది	native
M46f332d7701f	ఆమె ప్రతి రోజూ అదే పని చేస్తుంది	native
Mcc6aaae188a9	ఆమెకు కొత్త హాబీ కావాలనుకుంటోంది	native
M5efe61fbec49	మొదటిగా, ఆమె వంట చేయడానికి ప్రయత్నించింది	native
M078b1e383017	కానీ ఆమె వండిన వంట రుచిగా లేదు	native
Md4ed22ac8504	తర్వాత ఆమె ఈత కొట్టడం ప్రయత్నించింది	native
M713259958e19	కానీ ఆమెకు నీళ్ళు అంటే భయం	native
M07ea382e5598	కరేన్ ఇంటికి నడుచుకుని వెళ్తూ ఒక పెంపుడు జంతువుల దుకాణాన్ని చూసింది	native
M5b64a1c2fa80	జంతువుల దుకాణంలో ఆమె ఒక పిల్లి చూసింది	native
Md48077c0312d	కరేన్ ఒక పిల్లిని కొనుక్కుని చాలా సంతోషంగా ఉంది	native
Me807a4c85472	నాకు పనిలోనూ, ఇంట్లోనూ బోర్ కొడుతోంది	native
M6951f255c768	నేను ప్రతి రోజూ అదే పని చేస్తాను	native
Mc897922bc2ff	నాకు ఒక కొత్త హాబీ కావాలి	native
M8db5cc76b64f	మొదటిగా, నేను వంట చేయడం ప్రయత్నించాను	native
Mb7401a2fc5dd	కానీ నేను వండిన వంట రుచిగా లేదు	native
M0e16df645baf	తర్వాత నేను ఈత కొట్టడం ప్రయత్నించాను	native
Mbdf8cce8eb64	కానీ నాకు నీళ్లంటే భయం	native
M63c45edd2d86	నేను ఇంటికి నడుచుకుంటూ వెళ్తూ ఒక పెంపుడు జంతువుల దుకాణాన్ని చూశాను	native
Ma2575b27117f	పెంపుడు జంతువుల దుకాణంలో నేను ఒక పిల్లిని చూశాను	native
Mc44ea721d1e0	నేను ఒక పిల్లిని కొన్నాను, ఇప్పుడు నేను చాలా సంతోషంగా ఉన్నాను	native
M42d7f47b568b	ఒకటి: కరేన్ కు పనిలోనూ, ఇంట్లోనూ బోర్ కొడుతోంది	native
Mcc07cf468ad2	కరేన్ పనిలో సంతోషంగా ఉందా?	native
Maa1860f48e23	లేదు, కరేన్ ఆమె పనిలో సంతోషంగా లేదు	native
Mac052d8b611f	కరేన్ కు పనిలోనూ, ఇంట్లోనూ బోర్ కొడుతోంది	native
Mb044ba00a8e4	రెండు: కరేన్ ప్రతి రోజూ అదే పని చేస్తుంది	native
M25bb1a29b316	కరేన్ చాలా పనులు చేస్తుందా?	native
M0b9dcb426a7a	కాదు, కరేన్ ప్రతి రోజూ అదే పని చేస్తుంది	native
M652ab12b31a9	మూడు: కరేన్ కొత్త హాబీ కావాలనుకుంటోంది	native
M29ceae1528af	కరేన్ కొత్త హాబీ కావాలనుకుంటోందా?	native
Mce8659ff976b	అవును, కరేన్ కొత్త హాబీ కావాలనుకుంటోంది	native
M947da0e86fb8	నాలుగు: కరేన్ వండిన వంట రుచిగా లేదు	native
M24793f8237ff	కరేన్ మంచి వంట మనిషి కాదా?	native
M87434ff51efb	కాదు, కరేన్ మంచి వంట మనిషి కాదు	native
Me73299e1566b	ఆమె వండిన వంట రుచిగా ఉండదు	native
Mb800ceea6986	ఐదు: కరేన్ కు నీళ్లంటే భయం	native
M0716d6b78157	కరేన్ కు ఈత కొట్టడం అంటే ఇష్టమా?	native
Mf1001124a770	కాదు, కరేన్ కు ఈత కొట్టడం అంటే ఇష్టం లేదు	native
M108393791c68	ఆమెకు నీళ్లంటే భయం	native
M16036378df64	ఆరు: పెంపుడు జంతువుల దుకాణంలో కరేన్ ఒక పిల్లిని చూసింది	native
M97a5dafb9b60	పెంపుడు జంతువుల దుకాణంలో కరేన్ ఒక పిల్లిని చూసిందా?	native
M70c71b8f1bc9	అవును, పెంపుడు జంతువుల దుకాణంలో కరేన్ ఒక పిల్లిని చూసింది	native
M22b50a16e585	ఏడు: పెంపుడు జంతువుల దుకాణంలో కరేన్ ఒక పిల్లిని కొనుక్కుంది	native
Mac12e1ef7451	కరేన్ ఒక పిల్లిని కొనుక్కుందా?	native
M425dfc28cbb5	అవును, పెంపుడు జంతువుల దుకాణంలో కరేన్ ఒక పిల్లిని కొనుక్కుంది	native
M36aac71299e8	ఎనిమిది: ఆమెతో పిల్లి ఉంది కాబట్టి కరేన్ ఇప్పుడు చాలా సంతోషంగా ఉంది	native
M0f8f2db95b4c	కరేన్ కు ఇప్పుడు బోర్ కొడుతోందా?	native
M962625c7a538	కాదు, కరేన్ కు ఇప్పుడు బోర్ కొట్టడం లేదు	native
Mf6a78b87d9ec	ఆమెకు పిల్లి ఉంది కాబట్టి ఇప్పుడు చాలా సంతోషంగా ఉంది	native
Maf14de3ce522	నా కూతురు ప్రతిరోజూ స్కూలుకు వెళ్తుంది	native
Me9dfa9af5f02	ఆమెకు స్కూల్ అంటే చాలా ఇష్టం	native
M41dc51e5bffe	స్కూల్లో ఆమె మంచి విద్యార్థి	native
Mce4b56c68cc6	నా కూతురంటే టీచర్ కు చాలా ఇష్టం	native
M80f643e0f3e3	నా కూతురుకి చాలా మంది ఫ్రెండ్స్ ఉన్నారు	native
Mfc0fc617abdd	ఆమె బెస్ట్ ఫ్రెండ్ యేమి	native
M539a50ee5949	యేమికి మ్యాథ్స్, సైన్స్ అంటే ఇష్టం	native
M77383f958096	నా కూతురికి ఇంగ్లీషు, హిస్టరీ అంటే ఇష్టం	native
M8e2da61aa171	హోంవర్క్ లో వాళ్ళు ఒకరికొకరు సహాయం చేసుకుంటారు	native
M3bd5efcd318b	వాళ్ళు కష్టపడి చదువుతూ స్కూల్లో బాగా రాణిస్తారు	native
M1ce57cf5fb8d	నేను ప్రతి రోజూ స్కూలుకు వెళ్తాను	native
M0f7b18e561d1	నాకు స్కూల్ అంటే చాలా ఇష్టం	native
M35cb8c4ef3af	నేను స్కూల్లో మంచి విద్యార్థిని	native
M952313ce5074	నేనంటే మా టీచర్లకు చాలా ఇష్టం	native
Me37bac4abc34	నాకు చాలా మంది ఫ్రెండ్స్ కూడా ఉన్నారు	native
M325df838e405	నా బెస్ట్ ఫ్రెండ్ యేమి	native
M5fa338ee705e	ఆమెకు మ్యాథ్స్ మరియు సైన్స్ అంటే ఇష్టం	native
Me8f5d3c811a0	నాకు ఇంగ్లీష్ మరియు హిస్టరీ అంటే ఇష్టం	native
Me8120b031b8e	హోంవర్క్ లో మేము ఒకరికొకరు సహాయం చేసుకుంటాము	native
M600055516098	మేము కష్టపడి చదువుతూ స్కూల్లో బాగా రాణిస్తాము	native
M55c3d5f454d7	ఒకటి: ప్రతిరోజూ స్కూలుకు వెళ్తుంది	native
M4858a3dc0b78	కూతురు ప్రతిరోజూ స్కూలుకు వెళ్తుందా?	native
M81e7bdcbf5b1	అవును, ఆమె ప్రతిరోజూ స్కూలుకు వెళ్తుంది	native
M944a2568215a	రెండు: కూతురికి స్కూల్ అంటే ఇష్టం	native
Mf566b4607efc	కూతురికి స్కూల్ అంటే ఇష్టమా?	native
M5d6e7e722ec0	అవును, ఆమెకు స్కూల్ అంటే ఇష్టం	native
Mb44a42902f46	మూడు: కూతురు మంచి విద్యార్థిని	native
Mab6ac69cd3ee	కూతురు చెడ్డ విద్యార్థినా?	native
M527aa7b9a193	కాదు, కూతురు చెడ్డ విద్యార్థిని కాదు	native
Me7d027d50f27	ఆమె ఒక మంచి విద్యార్థిని	native
Mb78f1b3fb3b5	నాలుగు: కూతురంటే టీచర్లకు చాలా ఇష్టం	native
M515c092fc84f	టీచర్లకు కూతురంటే ఇష్టమా?	native
Mcdabfe3c889f	అవును, ఆమెను టీచర్లు ఇష్టపడుతారు	native
M9f8d83091bd6	ఐదు: ఆమె బెస్ట్ ఫ్రెండ్ పేరు యేమి	native
Mb2d2d6db1cbc	ఆమె బెస్ట్ ఫ్రెండ్ పేరు జూలీ నా?	native
M8c4cced3b8d6	కాదు, ఆమె బెస్ట్ ఫ్రెండ్ పేరు యేమి	native
M1e1c4fbe3dcb	ఆరు: యేమికి మ్యాథ్స్ మరియు సైన్స్ అంటే ఇష్టం	native
M778832704e29	యేమికి ఇంగ్లీష్ మరియు హిస్టరీ అంటే ఇష్టమా?	native
M2b60baa095bc	కాదు, ఆమెకు మ్యాథ్స్ మరియు సైన్స్ అంటే ఇష్టం	native
M448c59446a1a	ఏడు: కూతురు మరియు యేమి స్కూల్లో బాగా రాణిస్తారు	native
M9ee5a507ebab	కూతురు స్కూల్లో బాగా రాణిస్తుందా?	native
M179ee1a0c740	అవును, కూతురు మరియు యేమి స్కూల్లో బాగా రాణిస్తారు	native
M902a6de03153	జోన్ హై స్కూల్లో ఉన్నాడు	native
M1738d7593777	అతనికి చాలా హోంవర్క్ ఉంది	native
M1d52df997c3c	క్లేర్ ఒక విశ్వవిద్యాలయ విద్యార్థిని	native
M65c1ca6f20e9	క్లేర్ ఒక విశ్వవిద్యాలయ విద్యార్థిని	native
M6f785000fb56	ఆమెకు చాలా హోంవర్క్ కూడా ఉంది	native
M7f1a9461d8f5	ఆమెకు చాలా హోంవర్క్ కూడా ఉంది	native
Mdd4ab580e417	హోంవర్క్ అంటే జోన్ కి ఇష్టం లేదు	native
Ma43404cd274b	అతనికి కంప్యూటర్లో ఆడుకోవడమంటే ఇష్టం	native
M59c4ef223e95	క్లేర్ కి చదవడం, వ్రాయడమంటే ఇష్టం	native
M73c93d1dfb8f	క్లేర్ కి చదవడం, వ్రాయడమంటే ఇష్టం	native
Mae1475ed3503	ఆమె ప్రతిరోజూ హోంవర్క్ చేస్తుంది	native
Mfdccfbd52c74	ఆమె ప్రతిరోజూ హోంవర్క్ చేస్తుంది	native
M430f729e114b	క్లేర్ జోన్ వాళ్ళ అక్క	native
Me8eb1d8d4dab	క్లేర్ జోన్ వాళ్ళ అక్క	native
Med5880a7ae78	ఆమె ఎల్లప్పుడూ అతని చేత అతని హోంవర్క్ చేయిస్తూ ఉంటుంది	native
Mab793095c316	నేను హై స్కూల్లో ఉన్నాను	native
M0f0d4738a9a3	నాకు చాలా హోంవర్క్ ఉంది	native
M9588bbac3eef	నాకు హోంవర్క్ అంటే ఇష్టం లేదు	native
M24726d63a47c	కంప్యూటర్లో ఆడుకోవడం అంటే నాకు ఇష్టం	native
Mcb5ecc6ac627	క్లేర్ నాకు అక్క	native
Mf0fccec5ba3c	ఆమె ఎల్లప్పుడూ నా చేత నా హోంవర్క్ చేయిస్తూ ఉంటుంది	native
M0301635ed4ba	ఒకటి: జోన్ ఒక హై స్కూల్ విద్యార్థి	native
M2ee5c50cfcf1	జోన్ ఒక హై స్కూల్ విద్యార్థా?	native
Ma2d62327fd95	అవును, జోన్ ఒక హై స్కూల్ విద్యార్థి	native
M926a6ddad4a9	రెండు: జోన్ కు చాలా హోంవర్క్ ఉంటుంది	native
Mc050b3c7bc11	జోన్ కు చాలా హోంవర్క్ ఉంటుందా?	native
Mb4a5c5dc7a23	అవును, జోన్ కు చాలా హోంవర్క్ ఉంటుంది	native
Ma807b013d0f3	మూడు: క్లేర్ ఒక విశ్వవిద్యాలయ విద్యార్థిని	native
Mbc87661aeb09	క్లేర్ ఒక హైస్కూల్ విద్యార్థినా?	native
M341d2d02b32b	కాదు, క్లేర్ ఒక హైస్కూల్ విద్యార్థిని కాదు	native
M404f80195bf2	ఆమె ఒక విశ్వవిద్యాలయ విద్యార్థిని	native
Mb131de145fea	నాలుగు: జోన్ కు కంప్యూటర్లో ఆడుకోవడం అంటే ఇష్టం	native
Mb210f37165a3	కంప్యూటర్లో ఆడుకోవడం అంటే జోన్ కి ఇష్టమా?	native
Ma3da152dc3ea	అవును, కంప్యూటర్లో ఆడుకోవడం అంటే జోన్ కి ఇష్టం	native
Mb5dc6c6c650a	ఐదు: క్లేర్ కు వ్రాయడం, చదవడం అంటే ఇష్టం	native
M0e79c6bafa76	క్లేర్ కు సినిమాలు చూడడం అంటే ఇష్టమా?	native
Meda153d2fcc4	కాదు, క్లేర్ కు వ్రాయడం, చదవడం అంటే ఇష్టం	native
M448790f176a4	ఆరు: క్లేర్ ప్రతిరోజూ ఆమె హోంవర్క్ చేస్తుంది	native
M656228cec7b4	క్లేర్ ప్రతిరోజూ ఆమె హోంవర్క్ చేస్తుందా?	native
M0c6210b3d16d	అవును, క్లేర్ ప్రతిరోజూ ఆమె హోంవర్క్ చేస్తుంది	native
M7e5ef182eb99	ఏడు: క్లేర్ జోన్ యొక్క అక్క	native
M15b34115842d	జోన్ మరియు క్లేర్ కు సంబంధం ఉందా?	native
Mf9530400a8d8	అవును, జోన్ మరియు క్లేర్ కి సంబంధం ఉంది	native
M7573e41adc24	ఎనిమిది: క్లేర్ ఎల్లప్పుడూ జోన్ చేత అతని హోంవర్క్ చేయిస్తూ ఉంటుంది	native
Mec1c434fed32	క్లేర్ ఎల్లప్పుడూ జోన్ చేత అతని హోంవర్క్ చేయిస్తూ ఉంటుందా?	native
M5cdbf4f72aee	అవును, క్లేర్ ఎల్లప్పుడూ జోన్ చేత అతని హోంవర్క్ చేయిస్తూ ఉంటుంది	native
Ma1109e049555	జేన్ మరియు ఫ్రెడ్ రాత్రి అలసిపోయారు	native
M275b9ea35d8b	ఏడు గంటలకు వాళ్ళు డిన్నర్ తిన్నారు	native
M787bfa38e02b	వాళ్ళ కొడుకు వారితో కలిసి డిన్నర్ తిన్నాడు	native
M322c8beeeed2	వాళ్ళు రిలాక్స్ అయ్యి కలిసి టీవి చూశారు	native
Mb5ad4d444fc9	వాళ్ళ కొడుకు కూడా టీవి చూశాడు	native
M59f071e47bc9	వాళ్ళు వాళ్ళ కొడుకుని ఎనిమిది గంటలకు నిద్రపుచ్చారు	native
M2c882c11e313	జేన్ వేడి నీటితో స్నానం చేసింది	native
Mcc7a7827960a	ఫ్రెడ్ స్నానం చేసి, పళ్ళు తోముకున్నాడు	native
M751bc36481b0	ఫ్రెడ్ స్నానం చేసి, పళ్ళు తోముకున్నాడు	native
Mca4ae6193d71	జేన్ పుస్తకం చదువుతూ నిద్ర పోయింది	native
Mf8b1392efe4d	తర్వాత ఫ్రెడ్ కూడా కాసేపటికి నిద్రపోయాడు	native
Md878c5aeafd1	తర్వాత ఫ్రెడ్ కూడా కాసేపటికి నిద్రపోయాడు	native
Md34e6a9281a5	ఫ్రెడ్ మరియు నేను రాత్రి అలసిపోయాము	native
Mb408011fb1d7	మేము ఏడు గంటలకు కలిసి డిన్నర్ తిన్నాము	native
M871bc7a11fa6	మా కొడుకు మాతో పాటు డిన్నర్ చేస్తాడు	native
Md82c09f5f626	మేము రిలాక్స్ అయ్యి కలిసి టీవి చూస్తాము	native
Mf3f5ba5cc9e7	మా కొడుకు కూడా టీవి చూస్తాడు	native
Mb7dcfcea4ff0	ఎనిమిది గంటలకు మేము మా కొడుకుని నిద్రపుచ్చుతాము	native
M4be33bb4a292	నేను వేడినీటి స్నానం చేశాను	native
M154b314861a3	నేను పుస్తకం చదువుతూ నిద్ర పోయాను	native
Mb14acb68544f	ఒకటి: ఫ్రెడ్ మరియు జేన్ అలసిపోయారు	native
M3661ae1b3008	ఫ్రెడ్ మరియు జేన్ అలసిపోయారా?	native
Md197a39beedd	అవును, వాళ్ళు అలసిపోయారు	native
M5affe99e1c6e	రెండు: వాళ్ళు ఏడు గంటలకు డిన్నర్ తింటారు	native
Mf302363e0fb0	వాళ్ళు ఆరు గంటలకు డిన్నర్ తింటారా?	native
Md403e4c537df	కాదు, వాళ్ళు ఆరు గంటలకు డిన్నర్ తినరు	native
M94ff2a2dee81	వాళ్ళు ఏడు గంటలకు తింటారు	native
M9ebd94abe535	మూడు: వాళ్ళకు ఒక కొడుకు ఉన్నాడు	native
Mb9860a252913	వాళ్ళకు కూతురు ఉందా?	native
Mca65c5cebbdb	లేదు, వాళ్ళకు కూతురు లేదు, వాళ్ళకు కొడుకు ఉన్నాడు	native
M4161f874b043	నాలుగు: వాళ్ళ కొడుకు కూడా వారితో కలిసి టీవి చూస్తాడు	native
M4c8e76bc58df	వాళ్ళ కొడుకు టీవి చూస్తాడా?	native
Ma4aab4634adf	అవును, వాళ్ళ కొడుకు కూడా వారితో కలిసి టీవి చూస్తాడు	native
M087117f86eb1	ఐదు: అతను ఎనిమిది గంటలకు పడుకుంటాడు	native
M789395f2da47	వాళ్ళ కొడుకు తొమ్మిది గంటలకు పడుకుంటాడా?	native
Ma972b16cb96e	కాదు, అతను ఎనిమిది గంటలకు పడుకుంటాడు	native
M5d01b2af0c5b	ఆరు: జేన్ వేడినీటితో స్నానం చేసింది	native
M2e47f1aaa952	జేన్ స్నానం చేసిందా?	native
Mbccef7944790	కాదు, జేన్ స్నానం చేయలేదు	native
M7d31879272d7	ఆమె వేడి నీటితో స్నానం చేసింది	native
M8faf848524dc	ఏడు: ఫ్రెడ్ స్నానం చేసి, పళ్ళు తోముకున్నాడు	native
Mdebd3f9ab6d0	ఫ్రెడ్ పళ్ళు తోముకున్నాడా?	native
M13c5e972c325	అవును, ఫ్రెడ్ స్నానం చేసి, పళ్ళు తోముకున్నాడు	native
M866c62b8e32a	ఎనిమిది: జేన్ పుస్తకం చదువుతుంది	native
M983cd8956932	జేన్ పుస్తకం చదువుతుందా?	native
M478ac50dccca	అవును, ఆమె పుస్తకం చదువుతుంది	native
M1d59e95edc36	జేమ్స్ ఆఫీస్ లో పని చేస్తాడు	native
M2049844ad725	అతను ప్రతిరోజూ బిజీగా ఉంటాడు	native
M65fae952cf36	కస్టమర్లతో అతనికి చాలా సమావేశాలుంటాయి	native
M487e6850a5f3	జేమ్స్ కి ఈ సమావేశాలంటే ఇష్టం లేదు	native
M4c23f3a7efc3	అవి అతనికి చాలా బోరింగ్గా ఉంటాయి	native
Md01de9cd1480	కొంతమంది కస్టమర్లు జేమ్స్ తో సరదాగా ఉంటారు	native
Ma923edb76519	మరి కొంతమంది కస్టమర్లు అంత మంచిగా ఉండరు	native
Mc5778712b868	మరి కొంతమంది కస్టమర్లు అంత మంచిగా ఉండరు	native
M140564b292fe	జేమ్స్ ఎక్కువ సేపు లంచ్ బ్రేక్స్ తీసుకుంటాడు	native
